epoch,phase,train_loss,train_acc,val_loss,val_acc,val_auc,model
1,1,0.5494273367197546,73.24124638612271,0.5425116332277419,72.29577816637521,0.8160914403550532,densenet121
2,1,0.5316603847154199,73.78198950637113,0.4563305148529628,77.74169372970272,0.8166639972371406,densenet121
3,1,0.5271795849277549,74.69750508619767,0.5055994879868295,74.84386709967525,0.8219137164107709,densenet121
4,1,0.5192643850021166,75.21147874504764,0.5620960159197687,73.2700474644017,0.8236653507809155,densenet121
5,1,0.5217472674095467,74.87953742370703,0.5206473325453107,74.01948538596054,0.827409225691448,densenet121
6,2,0.4786186597935141,77.26737338044758,0.4823061391001656,76.917312015988,0.8711176782255349,densenet121
7,2,0.4449431114919381,79.17335903201628,0.404094764874095,81.16412690482139,0.8755951695719355,densenet121
8,2,0.4227115618039483,80.32979976442874,0.5039765238761902,73.99450412190856,0.8768904387469603,densenet121
9,2,0.402519736490021,81.64150337295213,0.4509369534632516,77.34199350487134,0.8755544131032762,densenet121
10,2,0.3837848242678462,82.69086625977086,0.4809016601906882,79.0407194604047,0.8683247875837206,densenet121
11,2,0.3612414765592715,84.1524788521255,0.5064819523739437,76.86734948788408,0.8679626270332652,densenet121
12,2,0.3417860819409563,85.42670521469108,0.4941787302257522,77.44191856107919,0.8713153828498211,densenet121
13,2,0.3280521104341908,85.91390941214263,0.5143133184266468,76.64251811141644,0.8576705461581308,densenet121
14,2,0.2976549252587026,87.7449405717957,0.5220590295373566,82.06345241069198,0.8486959002567659,densenet121
15,2,0.2733521817430649,88.74611842809723,0.5532930786647494,78.31626280289782,0.8449902792247119,densenet121
1,1,0.568971864164692,71.83317271656495,0.4844081695117647,75.71821134149388,0.8193741236465457,efficientnet_b0
2,1,0.5460093759816803,72.75404218867116,0.4825408642017652,76.76742443167625,0.8251442028213486,efficientnet_b0
3,1,0.5490807824040929,72.77010386551022,0.4612977026946961,77.84161878591057,0.8250146044012696,efficientnet_b0
4,1,0.5378102451460819,73.15023021736803,0.458277195455536,77.06719960029977,0.8309031990967795,efficientnet_b0
5,1,0.5395520428986582,73.1609380019274,0.5053872813781103,74.91881089183113,0.8266695315365689,efficientnet_b0
6,2,0.4775693343875751,77.27272727272727,0.4578900017317325,76.31776167874095,0.8673559276708537,efficientnet_b0
7,2,0.4480543073572933,79.17335903201628,0.414959548839501,79.01573819635273,0.877385594089883,efficientnet_b0
8,2,0.4364511494665113,79.70339436770533,0.4420836703290069,76.64251811141644,0.8776590914453601,efficientnet_b0
9,2,0.4145692508310488,80.87589677695685,0.5104684509218685,72.84536597551836,0.8761893559834428,efficientnet_b0
10,2,0.3979622713762195,81.45947103544276,0.3978263004904702,81.13914564076943,0.8799300132780286,efficientnet_b0
11,2,0.3910023136038894,82.46600278402398,0.4293160106513708,79.29053210092431,0.8795651713809508,efficientnet_b0
12,2,0.3648454758198294,83.72416746975051,0.4030788232764554,81.61378965775668,0.8735809419892446,efficientnet_b0
13,2,0.3541875971761876,84.73605311061141,0.4650237196612926,77.76667499375469,0.8660249072075311,efficientnet_b0
14,2,0.3376756141421525,85.18578006210515,0.4615661853717433,78.09143142643018,0.8634340113445989,efficientnet_b0
15,2,0.3112407052532246,86.66880822357854,0.4677134930555309,80.5146140394704,0.8720693775200189,efficientnet_b0
16,2,0.2959738538842903,87.62180104936289,0.5044131969648694,79.6152885335998,0.8619778613722344,efficientnet_b0
17,2,0.2898038301030046,87.86272620194882,0.4846913582453179,80.11491381463902,0.8670168267013502,efficientnet_b0
